017_04_21_031_21|わかりました……士道
903_01_01_100_21|いいですよ。なんでもやってみるのは大切ですから。　でも、間違えたら大変ですから、頑張ってくださいね
903_01_01_105_21|まさかオムライスを食べきってしまうなんて驚きでした。　しかも追加のケーキとプリンも食べきってしまうとは……
903_01_01_107_21|甘い物が大好きなのですね。　だから士道のことも好きなのですか？
903_01_01_108_21|ふふっ、そのままの意味です。士道も女の子には甘いですからね
903_01_01_110_21|いいえ、わたしも士道が大好きですよ
903_01_01_111_21|本当のことですから。それに、今更の話ではないですか
903_01_01_112_21|場所に問題があるなら、家に戻るか公園でも行きましょうか
903_01_01_115_21|ふふっ……士道は、本当に父親のようになってきましたね
903_01_01_117_21|はい、いきましょうか。　大事な家族を一人にできないですしね
903_01_01_123_21|士道、凜緒をこっちに連れてきてください
903_01_01_124_21|お腹がいっぱいになって、眠くなってしまったんですね。　ふふ、可愛い寝顔です
903_01_01_125_21|そうかもしれませんね。　そもそも、子供にはお昼寝が重要だと言いますし
903_01_01_126_21|……士道。凜緒も眠っていますし、　ひとつだけ、聞いてもいいですか？
903_01_01_127_21|士道……あなたは、『一番大事なもの』というのが何か、　もう気づいているのではないですか？
903_01_01_129_21|やはり、そうでしたか……
903_01_01_130_21|士道は、優しいですから。　きっと、また誰かのことを考えて……　誰かを傷つけたくなくて、心を痛めているんでしょう？
903_01_01_131_21|そうですか。でも、わたしは信じています。　士道は必ず一番いい答えを選んでくれると
903_01_01_132_21|それでも、士道は最後にきちんと選びます。　今までそうして、誰かを救ってきたように。　わたしに……そうしてくれたように
903_01_01_133_21|悩むかもしれません。力不足だったと考えてしまうかもしれま　せん。ですが士道は、ずっと正しい選択をしてきました。　それは、わたしが保証しますから
903_01_01_134_21|そういうわけではありません。　ですが、士道のことは良く見ていますから
903_01_01_135_21|士道はいつでも、誰かのために一生懸命ですから。　そんな士道に、みんな惹かれているんです
903_01_01_136_21|だからわたしはみんなを代表して約束します。　……わたしは、あなたがどんな選択をしても、　それが正しかったと信じます。信じて、います
903_01_01_137_21|どういたしまして。これも良妻の務めですからね
903_01_01_138_21|はい、わたしは士道の鞠亜ですから
903_01_01_141_21|おはよう、凜緒。よく眠っていましたね
903_02_01_082_21|……すみません、鞠奈が迷惑をかけたようですね
903_02_01_083_21|鞠奈はわたしの中にいるようです。　多分、今日はもう出てくることはないでしょう
903_02_01_084_21|……せっかくの活動時間を放棄して引きこもるなんて、　よほど痛いところを突かれたようですね
903_02_01_087_21|いえ、その表現は少し違いますね。確かにわたしはこの世界で　鞠奈と体を共にしていますが、意識は独立しています
903_02_01_090_21|なんとなく、といった程度ですね。　ですが、この雰囲気を見れば何があったか大体わかります。　ごめんなさい、凜緒。楽しい家族の団欒だったはずなのに
903_02_01_092_21|凜緒……あなたは本当に良い子ですね
903_02_01_094_21|いいえ、そんなことありませんよ。　凜祢の言葉に、敏感になりすぎただけでしょう。　それより、おにぎりが冷めてしまいますよ
903_02_01_096_21|はい。それが、鞠奈が凜緒のことを大好きな証拠ですね
903_02_01_098_21|いいえ、伝わっていますよ。きっと
903_02_01_100_21|凜祢？
903_02_01_105_21|はい、おやすみなさい、凜祢
903_02_01_110_21|そうですね。凜祢に任せます。　凜緒はわたしと一緒にいるのは嫌みたいですから
903_02_01_112_21|ふふっ……わかっていますよ。　今日は思う存分、凜祢と一緒にいてください
903_02_01_119_21|別にそう難しく考えなくて良いのでは？　寝ればいいではないですか
903_02_01_121_21|わたしは既に経験がありますので、何も起きないことは明白です。　それに凜緒は小さいですし、ベッドに三人で寝るのは不可能では　ありません
903_02_01_128_21|でしょう。ふっふっふ……
903_03_01_003_21|はい。琴里から朝はトーストがいいと連絡を受けましたので
903_03_01_007_21|はい。まるでトーストではないようです
904_03_01_070_21|鞠奈……
904_03_01_071_21|いえ、本当に顔を見られたくないのでしょう。　鞠奈は、泣き虫さんですから
904_03_01_072_21|いいんです。本人もわかっていると思いますから
904_03_01_073_21|ふふっ、本当は可愛いところがいっぱいなんですよ？　[わたしの姉さん*・・・・・・・]は
904_03_01_074_21|はい、お願いします。それでは、わたしは行きますね
904_03_01_075_21|散歩ですよ。鞠奈と一緒に、少しでもこの街を見ておきたくて。　ほら、士道はわたしに構っている場合じゃありませんよ？　待っている人がいますから
904_03_01_076_21|最後は、一緒にいてあげてください。　さようなら、士道――次は画面越しですね
904_03_04_001_21|――士道、あまり時間をかけていると、遅刻してしまいますよ？
904_03_04_003_21|今日はわたしたちだけですからね。もし、士道が遅刻したら、　それはわたしたちの責任でもありますから
904_03_04_006_21|鞠奈、少し言い過ぎですよ。まだ間に合う範囲ですから
904_03_04_007_21|士道は嫌、ですか？　わたしたちと手を繋ぐのは……
904_03_04_008_21|それは、士道が優柔不断だから、引っ張っていった方が　いい……と、鞠奈が言ってですね
904_03_04_010_21|そうでしたか？　全く覚えていませんね
904_03_04_012_21|まったく、鞠奈はスタンダードすぎるツンデレですね
904_03_04_014_21|そうですね、行きましょう。　まったく鞠奈が話を脱線させるから……
904_03_04_016_21|ふふっ、心配しすぎですよ、士道。　姉妹のスキンシップですから
904_03_04_018_21|――ええ。とても。楽しいですから
904_03_04_020_21|ええ。では行きますよ、士道。　しっかり手を握ってください
900_00_00_245_21|いえ。それがいいです。　……鞠亜。或守鞠亜。わたしの……名前
900_00_00_248_21|そう、そうでした。　みなさんはそうやって、士道と愛を伝え合った。　だから、デートの最後は……キスを、する
900_00_00_249_21|そうすれば……きっと、愛について、　完全に理解できるはず。　そうすれば、士道を……みなさんを、この世界から解放できる
900_00_00_253_21|これは、いったい……？　わたしの力、が……あ――
900_00_00_263_21|……士道を、守る力をください。わたしは……士道を、守りたい。　失いたくない……みなさんにとっても、わたしにとっても――　　誰よりも、大切な存在だから
900_00_00_266_21|一撃、重いのをあげましょう。　鞠奈もきっと、待っているはずです
900_00_00_271_21|これがもっとも確実な方法です。　みなさんが……士道が、生きるための
900_00_00_275_21|もう駄目なんです。〈フラクシナス〉の管理権限を　完全にリセットするには、これしか方法がありません
900_00_00_277_21|ありがとう、士道。　あなたはとても、優しい人でした
900_00_00_282_21|そして、士道。あなたと過ごした時間は、　あなたが覚えていないのも、すべて、わたしの宝物です。　あなたのおかげで……わたしは探しものを、見つけました
900_00_00_285_21|はい。あなたの鞠亜です
900_00_00_287_21|わたしは全身全霊を以て士道を助けることを誓います。　ですから、士道は絶対、諦めないでください。　絶対に……何度だって立ち上がってください
